,Equity
1054,10017.454312550932
1055,10018.484577478941
1056,10018.16114259315
1057,10018.276185078234
1058,10018.045952193226
1059,10018.209646481093
1060,10018.33900462462
1061,10018.110436790463
1062,10018.316527049636
1063,10018.734411742764
1064,10017.712762625257
1065,10017.769998234075
1066,10018.601993555332
1067,10019.276245112853
1068,10017.644200129347
1069,10018.243005795775
1070,10018.08742753171
1071,10017.793340897842
1072,10017.376841880112
1073,10016.982023796596
1074,10017.221581165257
1075,10017.687380529955
1076,10017.47238054243
1077,10017.962208514058
1078,10017.86816698068
1079,10017.83123551218
1080,10017.933614314508
1081,10017.635029368841
1082,10017.195220721807
1083,10017.260724813168
1084,10017.579701396793
1085,10017.527648137035
1086,10017.396535716021
1087,10016.959892649767
1088,10017.829937805529
1089,10016.701078316832
1090,10016.06987347784
1091,10015.824665562712
1092,10015.799903780882
1093,10017.713423188441
1094,10017.271337562364
1095,10014.137691307833
1096,10012.696900364204
1097,10011.811181236651
1098,10012.135345184483
1099,10011.855414592945
1100,10011.270710307317
1101,10011.77036453432
1102,10011.653946578912
1103,10011.771680126401
1104,10011.363142364393
1105,10011.542127076791
1106,10010.848225530617
1107,10011.580205479913
1108,10011.556352130367
1109,10011.745029036072
1110,10011.841728181325
1111,10012.20545067909
1112,10011.973883093751
1113,10011.25400453377
1114,10010.981243137814
1115,10010.490860652217
1116,10010.763543422241
1117,10010.573131877205
1118,10010.453957944828
1119,10011.614407852385
1120,10012.000219375263
1121,10012.354376649013
1122,10011.910782186436
1123,10011.595022648335
1124,10011.71958738681
1125,10011.239035925331
1126,10011.284127604593
1127,10011.52849999678
1128,10011.479747785517
1129,10011.352448310425
1130,10011.484266740972
1131,10011.850856340781
1132,10012.127912724281
1133,10012.225401930187
1134,10012.33645803746
1135,10012.020189688852
1136,10012.225729691141
1137,10013.117452314968
1138,10012.90350338149
1139,10011.56503454141
1140,10011.567123064082
1141,10010.391481520946
1142,10010.929736442664
1143,10011.32785320254
1144,10012.123277961138
1145,10011.935374810571
1146,10011.998580156253
1147,10012.593871747284
1148,10013.05523183533
1149,10013.182894877287
1150,10012.848064910413
1151,10012.926093237707
1152,10012.83700445623
1153,10013.121449684955
1154,10013.210816974564
1155,10013.150620871851
1156,10012.835029791766
1157,10012.712050835808
1158,10012.448608837369
1159,10012.473594045176
1160,10012.490745750352
1161,10011.945295322368
1162,10012.80834285677
1163,10012.518408375077
1164,10012.551973903182
1165,10012.969981662305
1166,10014.743917912609
1167,10014.892821223353
1168,10015.25345066788
1169,10016.679443720544
1170,10016.851102202401
1171,10016.263197351675
1172,10016.658923529267
1173,10015.921280598039
1174,10016.166301892597
1175,10016.305954764122
1176,10016.405682823062
1177,10016.365457007762
1178,10016.44015383567
1179,10016.969311874649
1180,10017.300521895493
1181,10017.042348984221
1182,10017.204815411658
1183,10017.025790354803
1184,10016.713943839064
1185,10016.11922414818
1186,10015.293649937748
1187,10014.790751502234
1188,10015.230615902572
1189,10015.626819992318
1190,10014.547802459867
1191,10014.2316663471
1192,10014.548847935264
1193,10014.434826898347
1194,10014.78242512529
1195,10015.26539328875
1196,10015.292930301366
1197,10014.973971855385
1198,10014.799636443275
1199,10014.842974244179
1200,10014.832134324413
1201,10015.241158676608
1202,10015.673249674865
1203,10015.342121507776
1204,10015.500906597086
1205,10015.52586983529
1206,10015.61978381009
1207,10015.1842040834
1208,10014.672129955226
1209,10014.854887433079
1210,10014.613849426778
1211,10014.304246317857
1212,10014.448144565747
1213,10013.574576814048
1214,10012.96908310558
1215,10012.656469247037
1216,10013.29469309348
1217,10011.803013796434
1218,10011.580708354139
1219,10012.768842798121
1220,10010.788972074264
1221,10010.67101345973
1222,10010.864244855813
1223,10010.886168139494
1224,10010.96936818788
1225,10010.981477124376
1226,10010.838802479608
1227,10010.654169209589
1228,10010.925491058566
1229,10011.047704524146
1230,10011.206776963305
1231,10011.261659200678
1232,10011.675206662194
1233,10011.662023905257
1234,10011.661872466599
1235,10011.947457082257
1236,10012.108013236772
1237,10012.253412689613
1238,10011.10682685172
1239,10009.652067112274
1240,10008.302079147947
1241,10009.388741088806
1242,10010.059287199992
1243,10009.929162698472
1244,10009.61880442678
1245,10009.746285005604
1246,10009.921602189188
1247,10009.875867454251
1248,10009.67869040403
1249,10009.396026312437
1250,10008.815978442462
1251,10008.69912711088
1252,10008.793564040168
1253,10008.829728805584
1254,10008.539257731281
1255,10008.210317890147
1256,10008.499578444698
1257,10008.52937055969
1258,10009.324587607047
1259,10009.45014398497
1260,10010.068495644999
1261,10009.654885659424
1262,10010.640818660162
1263,10011.344617245286
1264,10011.925540308894
1265,10012.18715134923
1266,10012.511465271362
1267,10013.367693628612
1268,10013.96731530529
1269,10012.892838338523
1270,10012.640772153418
1271,10012.587958648073
1272,10012.613257133933
1273,10012.708981261658
1274,10012.974301073644
1275,10013.277194943117
1276,10013.245473388795
1277,10013.233723686897
1278,10012.814453795352
1279,10012.662234231191
1280,10013.241950243602
1281,10013.45229404427
1282,10013.266017351685
1283,10011.510244109277
1284,10011.188580147631
1285,10010.278657094044
1286,10009.55880906723
1287,10008.692622799641
1288,10008.817290859615
1289,10008.671237329187
1290,10007.681500081264
1291,10008.13843601286
1292,10007.535783224304
1293,10007.180497583116
1294,10006.899870365254
1295,10007.034040528144
1296,10007.141453055952
1297,10007.304250366871
1298,10007.801934924239
1299,10007.851227309737
1300,10007.828103267706
1301,10008.194810566898
1302,10008.052262180458
1303,10008.11979889549
1304,10008.627405823667
1305,10009.13431646
1306,10009.198437463869
1307,10009.128396362723
1308,10009.364611247072
1309,10008.85496421427
1310,10009.483790952503
1311,10009.730864711044
1312,10009.624554094533
1313,10008.45932816544
1314,10008.084084986695
1315,10009.244706401587
1316,10012.16066235674
1317,10013.084576028474
1318,10012.627392045715
1319,10012.668201244433
1320,10012.898818553043
1321,10013.105627118628
1322,10014.369103407478
1323,10014.145787736577
1324,10013.841947639186
1325,10014.102073575932
1326,10013.911666431526
1327,10013.018723207459
1328,10013.452988466464
1329,10014.707675563282
1330,10013.695588294484
1331,10012.33364307809
1332,10011.330883288198
1333,10011.66185302349
1334,10011.037753818891
1335,10011.554821469765
1336,10010.76973937732
1337,10010.865225522284
1338,10010.624587792814
1339,10010.379831053775
1340,10010.599142826994
1341,10011.340169680434
1342,10010.336705116644
1343,10010.625433671155
1344,10011.450543818944
1345,10011.675319003441
1346,10012.457054625647
1347,10012.006503846229
1348,10012.224741561884
1349,10012.317040823329
1350,10012.311060914759
1351,10012.14081494507
1352,10012.955192497839
1353,10011.541070940946
1354,10012.420051572759
1355,10011.67314904003
1356,10012.063734570007
1357,10012.912758135177
1358,10012.546644010457
1359,10012.436180121585
1360,10012.47959361665
