Time,Open,High,Low,Close,Volume,average,barCount,spread,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,Ren_Value,Blue,Red,Increase,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,EndTime_fr,HI_Value,BearWarning,BullWarning,peak,crust,atr,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,returns,t_dir
2026-01-15 10:00:00-05:00,1.16011,1.16095,1.159715,1.16024,-1.0,-1.0,-1,0.0001,1.161173,1.160175,1.1624404166666666,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.16261,0.0,2026-01-15 10:00:00-05:00,1.16095,False,False,0,0,0.0010196428571428598,0,0,0,0,0,0,0.00011205206122858383,1
2026-01-15 11:00:00-05:00,1.16024,1.161115,1.159825,1.16047,-1.0,-1.0,-1,0.0001,1.1606480000000001,1.160355,1.16219125,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.159315,2.0,2026-01-15 11:00:00-05:00,1.16095,False,False,0,0,0.0010785714285714049,0,0,1,0,0,0,0.0001982152020313754,1
2026-01-15 12:00:00-05:00,1.16047,1.16138,1.160365,1.160895,-1.0,-1.0,-1,0.0001,1.1603729999999999,1.1606825,1.1619720833333333,0,0,1,0,0,1,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 12:00:00-05:00,1.16095,False,False,0,0,0.0011182142857142521,0,0,0,0,0,0,0.00036616387750196196,1
2026-01-15 13:00:00-05:00,1.160895,1.16152,1.160895,1.16148,-1.0,-1.0,-1,0.0001,1.1606390000000002,1.1611875,1.1618191666666666,0,0,1,0,0,1,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 13:00:00-05:00,1.16095,False,False,1,0,0.0011257142857142538,0,0,0,0,0,0,0.0005037946174697912,1
2026-01-15 14:00:00-05:00,1.16148,1.161745,1.161125,1.16138,-1.0,-1.0,-1,0.0001,1.160893,1.1614300000000002,1.16169375,0,0,1,0,0,1,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 14:00:00-05:00,1.16095,True,False,0,0,0.0011389285714285466,0,0,0,0,0,1,-8.610075515683144e-05,0
2026-01-15 15:00:00-05:00,1.16138,1.16156,1.160285,1.160435,-1.0,-1.0,-1,0.0001,1.160932,1.1609075,1.1614733333333334,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 15:00:00-05:00,1.16156,False,False,0,0,0.0011696428571428275,0,0,0,0,0,0,-0.0008140183883571622,0
2026-01-15 16:00:00-05:00,1.160435,1.161115,1.160335,1.160845,-1.0,-1.0,-1,0.0001,1.1610070000000001,1.16064,1.1612454166666666,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 16:00:00-05:00,1.16156,False,True,0,0,0.0011499999999999685,0,0,0,0,0,0,0.0003532533811203288,1
2026-01-15 17:15:00-05:00,1.1609,1.160965,1.16072,1.16072,-1.0,-1.0,-1,0.0001,1.160972,1.1607824999999998,1.1610075,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 17:15:00-05:00,1.160965,True,False,0,0,0.0011071428571428304,0,0,0,0,0,1,-0.00010768597917411782,0
2026-01-15 18:00:00-05:00,1.16072,1.16103,1.16072,1.16091,-1.0,-1.0,-1,0.0001,1.1608580000000002,1.160815,1.1608254166666667,0,1,0,0,0,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 18:00:00-05:00,1.160965,False,False,0,0,0.0010610714285714013,0,0,0,0,0,0,0.00016367810583456995,1
2026-01-15 19:00:00-05:00,1.16091,1.160955,1.160275,1.16038,-1.0,-1.0,-1,0.0001,1.1606580000000002,1.1606450000000001,1.1606679166666667,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 19:00:00-05:00,1.160955,False,False,0,1,0.0010514285714285445,0,0,0,0,0,0,-0.00045664265060369684,0
2026-01-15 20:00:00-05:00,1.16038,1.160875,1.16024,1.16069,-1.0,-1.0,-1,0.0001,1.160709,1.1605349999999999,1.1607129166666665,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 20:00:00-05:00,1.160955,False,True,0,0,0.0010417857142857034,0,0,0,0,0,0,0.0002671181841506629,1
2026-01-15 21:00:00-05:00,1.16069,1.161415,1.16062,1.160965,-1.0,-1.0,-1,0.0001,1.160733,1.1608275,1.1607841666666667,0,0,1,0,0,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 21:00:00-05:00,1.161415,False,False,0,0,0.000993571428571419,0,0,0,0,0,0,0.0002368999711723427,1
2026-01-15 22:00:00-05:00,1.160965,1.16126,1.16069,1.161215,-1.0,-1.0,-1,0.0001,1.160832,1.1610900000000002,1.1608654166666668,0,0,1,0,0,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 22:00:00-05:00,1.161415,False,False,1,0,0.0008464285714285655,0,0,0,0,0,0,0.00021531492043337885,1
2026-01-15 23:00:00-05:00,1.161215,1.16138,1.161025,1.161095,-1.0,-1.0,-1,0.0001,1.160869,1.161155,1.1609175,0,0,1,0,0,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-15 23:00:00-05:00,1.161415,True,False,0,0,0.0007450000000000115,0,0,0,0,0,1,-0.0001033453760324518,0
2026-01-16 00:00:00-05:00,1.161095,1.161125,1.1606,1.16068,-1.0,-1.0,-1,0.0001,1.1609289999999999,1.1608874999999999,1.1608995833333333,0,1,0,0,0,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-16 00:00:00-05:00,1.161125,False,False,0,0,0.0006942857142857266,0,0,0,0,0,0,-0.00035748511756707033,0
2026-01-16 01:00:00-05:00,1.16068,1.16098,1.16043,1.16095,-1.0,-1.0,-1,0.0001,1.160981,1.160815,1.1608554166666667,0,1,0,0,0,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-16 01:00:00-05:00,1.161125,False,True,0,0,0.0006414285714285864,0,0,0,0,1,0,0.00023259520355728904,1
2026-01-16 02:00:00-05:00,1.16095,1.161475,1.160805,1.16121,-1.0,-1.0,-1,0.0001,1.16103,1.1610800000000001,1.16084125,1,0,0,0,1,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-16 02:00:00-05:00,1.161475,False,False,0,0,0.0006167857142857265,0,0,0,0,0,0,0.0002239294459353917,1
2026-01-16 03:00:00-05:00,1.16121,1.161475,1.16085,1.160925,-1.0,-1.0,-1,0.0001,1.160972,1.1610675000000001,1.1608820833333333,1,0,0,0,1,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-16 03:00:00-05:00,1.161475,True,False,0,0,0.0006167857142857265,0,0,0,0,0,0,-0.0002454637662590893,0
2026-01-16 04:00:00-05:00,1.160925,1.161525,1.160815,1.16084,-1.0,-1.0,-1,0.0001,1.160921,1.1608825,1.1608816666666668,0,1,0,0,1,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-16 04:00:00-05:00,1.161525,False,False,0,0,0.0006232142857142924,0,0,0,0,0,0,-7.322015797283217e-05,0
2026-01-16 05:00:00-05:00,1.16084,1.161765,1.160815,1.161295,-1.0,-1.0,-1,0.0001,1.161044,1.1610675000000001,1.1609295833333333,1,0,0,0,1,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-16 05:00:00-05:00,1.161765,False,False,0,0,0.0006000000000000132,0,0,0,0,0,0,0.0003918807526891221,1
2026-01-16 06:00:00-05:00,1.161295,1.16235,1.161285,1.16192,-1.0,-1.0,-1,0.0001,1.1612380000000002,1.1616075000000001,1.16101375,1,0,0,0,1,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-16 06:00:00-05:00,1.161765,False,False,1,0,0.0006203571428571626,0,0,0,0,0,0,0.0005380475032038814,1
2026-01-16 07:00:00-05:00,1.16192,1.16223,1.161365,1.161915,-1.0,-1.0,-1,0.0001,1.161379,1.1619175,1.1611416666666667,1,0,0,0,1,0,1.16015,0,1,1,0,0,0,1.159315,0.0,2026-01-16 07:00:00-05:00,1.161765,True,False,0,0,0.0006646428571428815,0,0,0,0,0,0,-4.303231511753498e-06,0
2026-01-16 08:00:00-05:00,1.161915,1.16212,1.161165,1.161865,-1.0,-1.0,-1,0.0001,1.161567,1.16189,1.1612395833333333,1,0,0,0,1,0,1.16015,0,1,1,0,0,0,1.16235,1.0,2026-01-16 08:00:00-05:00,1.16212,False,False,0,0,0.0007107142857143105,1,0,0,0,0,0,-4.3033333626931216e-05,0
2026-01-16 09:00:00-05:00,1.161865,1.16208,1.161255,1.161825,-1.0,-1.0,-1,0.0001,1.161764,1.161845,1.16131125,1,0,0,0,1,0,1.16015,0,1,1,0,0,0,1.16235,0.0,2026-01-16 09:00:00-05:00,1.16212,False,False,0,0,0.0007210714285714578,0,0,0,0,0,0,-3.4428000295933284e-05,0
2026-01-16 10:00:00-05:00,1.161825,1.162745,1.158445,1.159345,-1.0,-1.0,-1,0.0001,1.161374,1.1605850000000002,1.1611554166666667,0,1,0,0,0,0,1.16015,0,1,1,0,0,0,1.16235,0.0,2026-01-16 10:00:00-05:00,1.16212,False,False,0,1,0.0009828571428571584,0,0,0,0,0,0,-0.0021368542103078767,0
2026-01-16 11:00:00-05:00,1.159345,1.16059,1.159345,1.159825,-1.0,-1.0,-1,0.0001,1.160955,1.159585,1.1610495833333334,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.16235,0.0,2026-01-16 11:00:00-05:00,1.16212,False,True,0,0,0.001015000000000004,0,0,0,0,0,0,0.0004139412003898002,1
2026-01-16 12:00:00-05:00,1.159825,1.16029,1.159495,1.159565,-1.0,-1.0,-1,0.0001,1.160485,1.1596950000000001,1.1609566666666666,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.162745,1.0,2026-01-16 12:00:00-05:00,1.16029,True,False,0,0,0.0010310714285714426,0,1,0,0,0,1,-0.00022419688029111994,0
2026-01-16 13:00:00-05:00,1.159565,1.159935,1.15894,1.15956,-1.0,-1.0,-1,0.0001,1.1600240000000002,1.1595624999999998,1.1608408333333333,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.162745,0.0,2026-01-16 13:00:00-05:00,1.159935,False,False,0,0,0.0010767857142857107,0,0,0,0,0,0,-4.3119711098088196e-06,0
2026-01-16 14:00:00-05:00,1.15956,1.159745,1.159155,1.15963,-1.0,-1.0,-1,0.0001,1.159585,1.159595,1.1607091666666667,0,0,1,0,0,1,1.16015,0,1,1,0,0,0,1.162745,0.0,2026-01-16 14:00:00-05:00,1.159935,False,True,0,0,0.0010814285714285824,0,0,0,0,0,0,6.036590363113518e-05,1
2026-01-16 15:00:00-05:00,1.15963,1.16024,1.15955,1.15994,-1.0,-1.0,-1,0.0001,1.159704,1.1597849999999998,1.1606270833333332,0,0,1,0,0,1,1.16015,0,1,1,0,0,0,1.162745,0.0,2026-01-16 15:00:00-05:00,1.16024,False,False,0,0,0.0010914285714285845,0,0,0,0,0,0,0.0002672909218913701,1
