Close,Low,Open,High,Time,returns,SMA_S,SMA_C,SMA_L,up_sma1,down_sma1,atr,volume,peak,crust,t_dir
1.4063,1.405875,1.407,1.40705,2009-06-28 21:15:00+00:00,0.0005335989470314217,1.40695,1.406215,1.4002419999999998,0,1,0.003082142857142859,0,0.0,0.0,1
1.40615,1.40575,1.4063,1.40695,2009-06-28 22:00:00+00:00,-0.0001066628742090181,1.4067875,1.406335,1.4005065,0,1,0.0029482142857142823,0,0.0,0.0,1
1.407075,1.40455,1.40615,1.407775,2009-06-28 23:00:00+00:00,0.0006578245564130558,1.4068,1.40647625,1.4007885,1,0,0.0027499999999999985,0,1.0,0.0,1
1.40315,1.402525,1.407075,1.407075,2009-06-29 00:00:00+00:00,-0.002789474619334542,1.4064425,1.40632625,1.4009724999999997,0,1,0.0029374999999999896,0,0.0,0.0,1
1.4023,1.40175,1.40315,1.40325,2009-06-29 01:00:00+00:00,-0.0006057798524746749,1.4061249999999998,1.40625375,1.401134,0,1,0.0028678571428571364,0,0.0,0.0,1
1.40045,1.40035,1.4023,1.40295,2009-06-29 02:00:00+00:00,-0.0013192612137203907,1.40526,1.4061237500000001,1.4012195,0,1,0.002817857142857142,0,0.0,0.0,0
1.4028,1.400325,1.40045,1.403475,2009-06-29 03:00:00+00:00,0.001678032061123158,1.4048475,1.4060575,1.4013719999999998,0,1,0.0028321428571428547,0,0.0,1.0,1
1.402675,1.402675,1.4028,1.40435,2009-06-29 04:00:00+00:00,-8.910749928725537e-05,1.40434,1.40596875,1.4015064999999998,0,1,0.0026678571428571424,0,1.0,0.0,1
1.401675,1.40145,1.402675,1.40325,2009-06-29 05:00:00+00:00,-0.0007129235211291718,1.4038125000000001,1.40567875,1.4016035,0,1,0.0025892857142857223,0,0.0,0.0,1
1.40115,1.39835,1.401675,1.401675,2009-06-29 06:00:00+00:00,-0.00037455187543478097,1.4033725000000001,1.4053025,1.4016989999999998,0,1,0.002457142857142872,0,0.0,1.0,0
1.401775,1.399625,1.40115,1.40295,2009-06-29 07:00:00+00:00,0.00044606216322318204,1.40292,1.404935,1.4018054999999998,0,1,0.002332142857142862,0,0.0,0.0,0
1.400875,1.39935,1.401775,1.403375,2009-06-29 08:00:00+00:00,-0.0006420431238963742,1.4023925,1.40459,1.4018819999999999,0,1,0.002533928571428566,0,0.0,0.0,0
1.402225,1.39965,1.400875,1.40275,2009-06-29 09:00:00+00:00,0.0009636834121531379,1.4019074999999999,1.40435375,1.4020194999999998,0,1,0.0026410714285714115,0,0.0,0.0,1
1.40495,1.402225,1.402225,1.405725,2009-06-29 10:00:00+00:00,0.0019433400488508834,1.4020875,1.404265,1.4021715000000001,1,0,0.0027482142857142566,0,0.0,0.0,1
1.405925,1.404375,1.40495,1.406875,2009-06-29 11:00:00+00:00,0.0006939748745509178,1.40245,1.4042875000000001,1.4024009999999998,1,0,0.0028196428571428517,0,0.0,0.0,1
1.406375,1.40535,1.405925,1.407475,2009-06-29 12:00:00+00:00,0.00032007397265143567,1.4030425,1.4041512500000002,1.402662,1,0,0.0028857142857142853,0,0.0,0.0,1
