,Time,action,Ren_Value,Blue,Red,dir,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,HI_Value,BearWarning,BullWarning,OBV,VWAP,bullish_engulfing,bullish_harami,dark_cloud_cover,doji,doji_star,dragonfly_doji,gravestone_doji,hammer,hanging_man,morning_star,morning_star_doji,piercing_pattern,rain_drop,rain_drop_doji,shooting_star,star,Open,High,Low,Close,volume,complete,spread,returns,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,peak,crust,atr,buy_renko,sell_renko,neg_buy_renko,neg_sell_renko,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,t_dir
3644,2/15/2023 1:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07394,0,0,235537,1.025067915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07371,1.07438,1.0735,1.0739,2962,1,0.00017,0.000158314,1.07358,1.073815,1.0733375,1,0,0,0,1,0,1,0,0.00245,1,0,0,0,0,0,0,0,0,0,1
3645,2/15/2023 2:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07392,0,0,232062,1.025076143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07391,1.07392,1.07226,1.07241,3475,1,0.00015,-0.00138843,1.073366,1.073155,1.0731075,0,1,0,0,1,0,0,0,0.00243,1,0,0,0,0,0,0,0,0,0,0
3646,2/15/2023 3:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07392,0,0,229188,1.025082849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07242,1.0727,1.07165,1.07173,2874,1,0.00016,-0.000634287,1.073046,1.07207,1.073125,0,0,0,1,0,1,0,0,0.00188,0,0,1,0,0,0,0,0,0,0,0
3647,2/15/2023 4:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07392,0,1,231770,1.025088874,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.07174,1.07202,1.07135,1.07175,2582,1,0.00015,1.87E-05,1.072704,1.07174,1.073098333,0,0,0,1,0,1,0,0,0.001492857,0,0,1,0,0,0,0,0,0,0,1
3648,2/15/2023 5:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07392,0,0,229539,1.025094043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07176,1.07204,1.07128,1.07143,2231,1,0.00015,-0.000298622,1.072244,1.07159,1.072990833,0,0,0,1,0,1,0,0,0.001082857,0,0,1,0,0,0,0,0,0,0,0
3649,2/15/2023 6:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07392,0,0,226345,1.025101319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07143,1.07193,1.07031,1.07067,3194,1,0.00014,-0.000709584,1.071598,1.07105,1.07279,0,0,0,1,0,1,0,1,0.001044286,0,0,1,0,0,0,0,0,0,0,0
3650,2/15/2023 7:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07392,0,1,233881,1.025118506,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.07068,1.07181,1.06989,1.07074,7536,1,0.00015,6.54E-05,1.071264,1.070705,1.07253,0,0,0,1,0,1,0,0,0.0011,0,0,1,0,0,0,0,0,0,0,1
3651,2/15/2023 8:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.0728,0,0,241892,1.025137405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07078,1.0728,1.07039,1.07236,8011,1,0.00014,0.001511829,1.07139,1.07155,1.072415833,0,0,1,0,0,1,0,0,0.001142143,0,0,1,0,0,0,0,0,0,0,1
3652,2/15/2023 9:00,0,1.07362,1,0,0,0,0,0,1.06989,2,1.0728,0,0,247366,1.02515035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07235,1.07292,1.07158,1.0725,5474,1,0.00015,0.000130545,1.07154,1.07243,1.072334167,0,0,1,0,0,0,1,0,0.001111429,0,0,1,0,0,0,1,0,0,0,1
3653,2/15/2023 10:00,0,1.07362,1,0,0,0,0,0,1.06989,0,1.0728,1,0,242423,1.025161783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07248,1.07324,1.07147,1.07149,4943,1,0.00014,-0.000942169,1.071552,1.071995,1.072180833,0,0,1,0,0,1,0,0,0.001165,0,0,1,0,0,0,0,0,0,1,0
3654,2/15/2023 11:00,0,1.07362,1,0,0,0,0,0,1.06989,0,1.07237,0,0,238330,1.025171154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0715,1.07237,1.07096,1.07103,4093,1,0.00015,-0.000429401,1.071624,1.07126,1.071978333,0,0,0,1,0,1,0,0,0.001235714,0,0,1,0,0,0,0,0,0,0,0
3655,2/15/2023 12:00,0,1.07362,1,0,0,0,0,0,1.06989,0,1.07237,0,0,232742,1.02518357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07103,1.07176,1.06962,1.06968,5588,1,0.00016,-0.001261264,1.071412,1.070355,1.071640833,0,0,0,1,0,1,0,0,0.001357143,0,0,1,0,0,0,0,0,0,0,0
3656,2/15/2023 13:00,0,1.06823,0,1,1,0,0,0,1.06989,0,1.07237,0,0,218825,1.025213444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06966,1.07052,1.06733,1.06823,13917,1,0.00014,-0.001356465,1.070586,1.068955,1.071168333,0,0,0,1,0,1,0,0,0.00154,0,1,0,0,0,0,0,0,0,0,0
3657,2/15/2023 14:00,0,1.07052,0,1,1,0,0,0,1.06989,0,1.07237,0,0,205532,1.025241048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06824,1.06884,1.06652,1.06688,13293,1,0.00014,-0.001264572,1.069462,1.067555,1.0707075,0,0,0,1,0,1,0,0,0.001652857,0,1,0,0,0,0,0,0,0,0,0
3658,2/15/2023 15:00,0,1.07052,0,1,1,0,0,0,1.06989,0,1.07237,0,1,216819,1.025264823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06689,1.0684,1.06645,1.06754,11287,1,0.00013,0.000618435,1.068672,1.06721,1.070358333,0,0,0,1,0,1,0,0,0.001729286,0,1,0,0,0,0,0,0,0,0,1
